Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
273,Montreal,104,104,73.31,27,77,,,,,,,,,,,
274,Montreal,,26,,,,,,,,,,,,,,
275,Montreal,,40,67.77,17,23,40,,,,,,,,,,
276,Montreal,,32,36.8,5,13,,,,,,,,,,,
277,Montreal,,44,36,19,25,,,,,,,,,,,
278,Montreal,,32,10.61,12,20,,,,,,,,,,,
279,Montreal,,15,31,8,2,,,,,,,,,,,
280,Sherbrooke,63,63,74.27,27,38,,,,,,,,,,,
281,Montreal,,36,45.3,12,24,,,,,,,,,,,
282,Montreal,12,12,21,6,6,,,,,,,,,,,
283,Montreal,,39,61.5,21,18,,,,,,,,,,,
284,Sherbrooke,18,18,24.3,,18,,,,,,,,,,,
285,Montreal,,10,33.4,6,4,,,,,,,,,,,
286,Montreal,,10,,8,2,,,,,,,,,,,
287,Montreal,,76,13.36,35,41,63,,,,,,,,,,
288,Quebec City,,33,65.1,8,25,,,,,,,,,,,
289,Montreal,,135,20.27,57,78,,,,,,,,,,,
290,Montreal,,4,39,4,,,,,,,,,,,,
291,Montreal,,20,69.2,5,15,,,,,,,,,,,
292,Quebec City,,15,26.8,6,9,,,,,,,,,,,
293,Montreal,,28,26.53,28,,,,,,,,,,,,
294,Montreal,,56,26.25,56,,,,,,,,,,,,
295,Montreal,,15,,,,,,,,,,,,,,
296,Montreal,,51,< 0.56,,,,,,,,,,,,,
297,Montreal,17,17,24.8,15,2,,,,,,,,,,,
298,Montreal,,29,60,22,7,,,,,,,,,,,
299,Montreal,,5,,5,,,,,,,,,,,,
300,Montreal,,119,31.08,58,61,,,,,,,,,,,
301,Montreal,,6,38,4,2,,,,,,,,,,,
302,Montreal,,60,22.9,31,39,,,,,,,,,,,
303,Montreal,,44,43.5,20,24,,,,,,,,,,,
304,Montreal,,30,,10,20,,,,,,,,,,,
305,Montreal,,59,,32,28,,,,,,,,,,,
306,Montreal,,38,37.69,17,19,,,,,,,,,,,
307,Montreal,,79,23.3,57,22,,,,,,,,,,,
308,Montreal,,44,23.3,31,13,,,,,,,,,,,
309,Montreal,,82,23.7,61,21,56,,,,,,,,,,
310,Montreal,,27,59.77,23,14,,,,,,,,,,,
311,Montreal,,24,23,17,7,,,,,,,,,,,
312,Montreal,,37,,,,,,,,,,,,,,
313,Montreal,,16,24,5,11,,,,,,,,,,,
314,Montreal,,23,12.2,9,14,,,,,,,,,,,
315,Montreal,,128,24.2,90,38,,,,,,,,,,,
316,Montreal,,51,48.75,,51,,,,,,,,,,,
317,Montreal,,,24.2,,,,,,,,,,,,,
318,Montreal,,86,45.18,4,82,,,,,,,,,,,
319,Montreal,,20,21.35,,20,,,,,,,,,,,
320,Sherbrooke,,42,,,,,,,,,,,,,,
321,Sherbrooke,,14,,11,3,,,,,,,,,,,
322,Montreal,,10,30.7,4,6,,,,,,,,,,,
323,Montreal,48,48,14.63,25,23,,,,,,,,,,,
324,Montreal,,30,,,,,,,,,,,,,,
325,Sherbrooke,,1,,1,,,,,,,,,,,,
326,Montreal,5,,58,1,4,,,,,,,,,,,
327,Montreal,,16,23.87,7,9,,,,,,,,,,,
328,Montreal,12,12,24.8,6,6,,,,,,,,,,,
329,Montreal,12,,,6,6,,,,,,,,,,,
330,Montreal,,82,,,,,,,,,,,,,,
331,Montreal,,12,0.25,5,7,,,,,,,,,,,
332,Montreal,,20,21.2,8,12,,,,,,,,,,,
333,Montreal,,12,,,,,,,,,,,,,,
334,Sherbrooke,39,39,74,16,23,,,,,,,,,,,
335,Montreal,,15,,8,7,,,,,,,,,,,
336,Montreal,,30,31.9,15,15,25,,,,,5,,,,,
337,Montreal,,10,25.3,5,5,,,,,,,,,,,
338,Montreal,,24,27.25,24,,,,,,,,,,,,
339,Montreal,,3,53,2,1,,,,,,,,,,,
340,Montreal,,28,10.57,11,17,,,,,,,,,,,
341,Montreal,6,,58.6,2,4,,,,,,,,,,,
342,Montreal,,30,36.4,10,20,,,,,,,,,,,
343,Montreal,,63,,31,32,,,,,,,,,,,
344,Montreal,,88,20.25,39,49,,,,,,,,,,,
345,Montreal,,30,23.4,16,14,,,,,,,,,,,
346,Montreal,,144,7.06,79,65,,,,,,,,,,,
347,Montreal,,2,68.5,,2,,,,,,,,,,,
348,Montreal,,92,20.2,81,11,,,,,,,,,,,
349,Montreal,,22,23.6,11,11,,,,,,,,,,,
350,Montreal,25,25,22.67,15,10,,,,,,,,,,,
351,Montreal,,59,21.73,28,31,,,,,,,,,,,
352,Montreal,,23,23.87,9,14,,,,,,,,,,,
353,Montreal,33,33,27.66,33,,,,,,,,,,,,
354,Montreal,,7,,,,,,,,,,,,,,
355,Montreal,,28,42.3,19,9,,,,,,,,,,,
356,Sherbrooke,,14,24.33,,14,,,,,,,,,,,
357,Sherbrooke,,,73.5,6,9,,,,,,,,,,,
358,Montreal,12,12,23,6,6,,,,,,,,,,,
359,Montreal,,23,24.4,18,5,,,,,,,,,,,
360,Montreal,,18,21.2,,18,,,,,,,,,,,
361,Montreal,,13,22.05,,,,,,,,,,,,,
362,Montreal,,15,20.8,9,6,,,,,,,,,,,
363,Montreal,,108,36.1,50,58,,,,,,,,,,,
364,Quebec City,,8,28.79,7,7,,,,,,,,,,,
365,Montreal,,15,27.8,15,,,,,,,,,,,,
366,Montreal,31,31,43.4,18,13,,,,,,,,,,,
367,Quebec City,,19,40.8,7,12,,,,,,,,,,,
368,Montreal,,52,23.2,40,12,,,,,,,,,,,
369,Montreal,,11,25,3,8,,,,,,,,,,,
370,Sherbrooke,,22,,13,9,,,,,,,,,,,
371,Sherbrooke,25,25,71,10,15,,,,,,,,,,,
372,Montreal,10,10,23.7,8,2,,,,,,,,,,,
373,Montreal,43,43,,4,6,,,,,,,,,,,
374,Montreal,,26,1.27,7,19,,,,,,,,,,,
375,Montreal,7,,23,3,4,,,,,,,,,,,
376,Montreal,,11,27,6,6,,,,,,,,,,,
377,Montreal,,39,73.1,15,24,,,,,,,,,,,
378,Montreal,,72,50.92,,72,,,,,,,,,,,
379,Montreal,,24,27.06,16,8,,,,,,,,,,,
380,Montreal,,62,25.5,29,33,,,,,,,,,,,
381,Montreal,,24,24,13,11,,,,,,,,,,,
382,Montreal,,40,67.63,17,23,,,,,,,,,,,
383,Montreal,,48,6.45,,,,,,,,,,,,,
384,Montreal,,37,4.86,19,18,,,,,,,,,,,
385,Montreal,,27,,14,13,,,,,,,,,,,
386,Quebec City,18,18,45.45,7,11,,,,,,,,,,,
387,Sherbrooke,10,10,73,4,6,,,,,,,,,,,
388,Montreal,,18,24.2,4,14,,,,,,,,,,,
389,Sherbrooke,10,,35,6,4,,,,,,,,,,,
390,Montreal,,51,30,25,26,,,,,,,,,,,
391,Montreal,,9,,5,4,,,,,,,,,,,
