Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
1459,Montreal,,46,41.4,25,21,,,,,,,,,,,
1460,Montreal,,19,33.2,8,11,,,,,,,,,,,
1461,Montreal,13,,34.7,7,6,,,,,,,,,,,
1462,Montreal,15,,73.59,7,8,,,,,,,,,,,
1463,Montreal,,12,,,,,,,,,,,,,,
1464,Montreal,,9,23,3,6,,,,,,,,,,,
1465,Montreal,,24,,12,12,,,,,,,,,,,
1466,Montreal,,46,40.8,23,23,,,,,,,,,,,
1467,Montreal,,26,33.3,,,,,,,,,,,,,
1468,Montreal,,52,43.3,26,26,,,,,,,,,,,
1469,Montreal,,36,36.3,21,15,,,,,,,,,,,
1470,Montreal,,96,37.5,37,59,,,,,,,,,,,
1471,Montreal,28,,,15,13,,,,,,,,,,,
1472,Montreal,,40,25.6,26,14,,,,,,,,,,,
1473,Montreal,17,17,,,,,,,,,,,,,,
1474,Montreal,,29,33.02,15,14,,,,,,,,,,,
1475,Montreal,6,6,25.8,2,4,,,,,,,,,,,
1476,Montreal,,53,24.02,23,30,,,,,,,,,,,
1477,Montreal,,25,57.5,,,,,,,,,,,,,
1478,"Montreal, Sherbrooke",,26,63.5,13,13,,,,,,,,,,,
1479,Montreal,,63,46.7,27,36,,,,,,,,,,,
1480,Montreal,,29,68.4,14,15,,,,,,,,,,,
1481,Montreal,,30,24,15,15,,,,,,,,,,,
1482,Montreal,,46,30.8,23,23,,,,,,,,,,,
1483,Montreal,,7,0.75,,,,,,,,,,,,,
1484,Montreal,,30,24,15,15,,,,,,,,,,,
1485,Montreal,,30,35.7,20,10,,,,,,,,,,,
1486,Montreal,,106,40.06,42,64,,,,,,,,,,,
1487,Montreal,,66,65.8,,,,,,,,,,,,,
1488,Quebec City,,84,54.5,35,49,,,,,,,,,,,
1489,Montreal,2,2,14.5,,2,,,,,,,,,,,
1490,Montreal,23,39,8.08,20,19,,,,,,,,,,,
1491,Montreal,,49,42.4,,,,,,,,,,,,,
1492,Montreal,,40,25.6,16,14,,,,,,,,,,,
1493,Montreal,25,,33.6,13,12,,,,,,,,,,,
1494,Montreal,,12,29,4,8,,,,,,,,,,,
1495,Montreal,,31,27.7,15,16,,,,,,,,,,,
1496,Montreal,,72,46.95,28,44,,,,,,,,,,,
1497,Montreal,,54,25.3,27,27,,,,,,,,,,,
1498,Montreal,,18,39,10,8,,,,,,,,,,,
1499,Montreal,,46,32,,,,,,,,,,,,,
1500,Montreal,,6,,1,5,,,,,,,,,,,
1501,Montreal,12,12,22,6,6,,,,,,,,,,,
1502,Montreal,,5,30,3,2,,,,,,,,,,,
1503,Montreal,,31,31.9,12,19,,,,,,,,,,,
1504,Montreal,20,22,,41,1,,,,,,,,,,,
1505,Montreal,,113,33,42,71,,,,,,,,,,,
1506,Montreal,11,11,,11,,,,,,,,,,,,
1507,Montreal,12,12,,6,6,,,,,,,,,,,
1508,Montreal,,154,48.08,45,109,,,,,,,,,,,
1509,Montreal,24,24,27.2,11,13,,,,,,,,,,,
1510,Montreal,,10,,,,,,,,,,,,,,
1511,Montreal,,18,29.31,9,9,18,,,,,,,,,,
1512,Montreal,61,61,43.5,25,36,,,,,,,,,,,
1513,Montreal,,349,63,102,247,345,,,,,,,,,,
1514,Montreal,324,324,70.05,130,194,,,,,,,,,,,
1515,Montreal,,73,24.2,48,25,,,,,,,,,,,
1516,Montreal,,49,24.4,39,10,,,,,,,,,,,
1517,Montreal,,184,,,,,,,,,,,,,,
1518,Montreal,,223,24.3,170,53,,,,,,,,,,,
1519,Montreal,,85,23.1,54,31,,,,,,,,,,,
1520,Montreal,,177,24.2,118,59,,,,,,,,,,,
1521,"Montreal, Sherbrooke, Quebec City",29,142,73.6,47,95,,,,,,,,,,,
1522,Montreal,,279,32.6,144,135,,,,,,,,,,,
1523,Montreal,,208,8.4,86,122,,,,,,,,,,,
1524,Montreal,58,,18.5,22,36,56,1,,,,,,,,,1
1525,"Saguenay Lac Saint Jean region, Chicoutimi",,1029,15.02,494,535,,,,,,,,,,,
1526,Montreal,,63,11.5,31,32,,,,,,,,,,,
1527,"Island of Montreal, Quebec City, Laurentians, Lanaudiere, Estrie, Outaouais",,,,249,200,,,,,,,,,,,
1528,Montreal,,43,0.75,30,13,,,,,,,,,,,
1529,Montreal,10,10,,5,5,,,,,,,,,,,
1530,Montreal,,20,,11,9,,,,,,,,,,,
1531,Montreal,,32,53.03,16,16,,,,,,,,,,,
1532,Montreal,,7,,4,3,,,,,,,,,,,
1533,Montreal,33,36,40.5,14,22,,,,,,,,,,,
1534,Montreal,,6,43.67,,6,,,,,,,,,,,
1535,Montreal,,19,35,7,12,,,,,,,,,,,
1536,Montreal,,202,0.75,113,89,,,,,,,,,,,
1537,Montreal,,28,10.57,11,17,,,,,,,,,,,
1538,Montreal,,23,23.3,9,14,,,,,,,,,,,
1539,Montreal,6,6,23.7,6,,,,,,,,,,,,
1540,Montreal,,40,,,,,,,,,,,,,,
1541,Montreal,,35,63,20,15,,,,,,,,,,,
1542,Montreal,29,29,73.6,,,,,,,,,,,,,
1543,Montreal,,58,33.02,48,10,,,,,,,,,,,
1544,Montreal,,110,,33,77,,,,,,,,,,,
1545,Montreal,,10,27,3,7,,,,,,,,,,,
1546,Montreal,,50,25.2,29,21,,,,,,,,,,,
1547,Montreal,,16,,2,14,,,,,,,,,,,
1548,Montreal,,7,,4,6,,,,,,,,,,,
1549,Montreal,,4,,,,,,,,,,,,,,
1550,Montreal,,16,25.7,15,1,,,,,,,,,,,
1551,Montreal,,11,34,7,4,,,,,,,,,,,
1552,Montreal,,33,43.5,23,10,,,,,,,,,,,
1553,Montreal,,3,33,3,,,,,,,,,,,,
